If,0.391
Fall,0.266
FIA,0.327
Assurance,-0.129
Risky,0.102
Coolest Kid in Africa,-0.158
Fans Mi,0.275
Sweet in the Middle,0.082
Pere,0.097
Flora My Flawa,0.305
Like Dat,0.24
D & G,0.011
If (Remix),0.279
Aye,0.324
Dami Duro,-0.45
Disturbance,0.039
How Long?,0.054
Wonder Woman,0.031
Intro,0.292
Gbagbe Oshi,0.068
1 Milli,0.36
FIA (Remix),0.347
Big Picture,0.13
Get To You,0.318
Animashaun,0.149
Owo Ni Koko,0.367
Maga 2 Mugu,-0.084
Check Am,-0.123
One Thing,-0.152
All Of You,0.14
Green Light Riddim,0.185
Gobe,0.027
Skelewu,0.212
Ekuro,0.414
Return,0.18
2020 Letter To You,0.153
The Money,0.007
Companyy,0.0
The Sound,0.07
Back when (feat. naeto c),-0.132
Nwa Baby,-0.168
Feel Alright,0.054
One of a Kind,0.2
Number One - Remix,0.166
Tchelete,0.0
Naughty,-0.245
Dollars in the bank (feat. kay switch),-0.224
Down,0.327
Enter the Center (feat. B-Red),0.203
Video,-0.015
Bless me,0.282
The Sound (Remix),0.138
Gbon Gbon,-0.004
Dodo,0.024
For You,0.144
Mary Jane,-0.081
Africa Rising,0.553
New skul tinz (feat. sinarambo & b-red),-0.084
Supanatural,-0.25
Ofili Gaga,-0.033
Back When,-0.132
Overseas,0.01
Wetin You Say?,0.07
New Skul Tinz,-0.017
Nwaa Baby,-0.198
Dollars In The Bank,-0.206
No Visa,0.115
Enter The Centre,0.17
