4 Instance,0.082
African Queen,0.274
African queen (mkd remix),0.248
Be There,0.209
Dance Floor,0.377
Dance In The Rain,0.217
Dancing in The Rain,0.217
E Be Like Say,0.01
Fly,0.368
Gaga Shuffle,0.153
Hate What You Do To Me,-0.406
Higher Healing,0.037
Higher (Spiritual Healing),0.217
If Love Is A Crime,0.412
Implication,0.0
Implications,0.0
I sing,0.004
My Love,0.324
Nfana Ibaga,0.221
Nfana Ibaga (No Problem) (Remix),0.085
No shakin,0.06
Ocho,0.331
Ole,0.149
Olè ft Freestyle,0.197
Ole (Thief),0.18
Omo tosan,0.465
One Love,0.13
Only Me,0.206
Outside,0.286
Oya come make we go,0.107
Rainbow,0.0
Raindrops,-0.013
Right Here,0.199
See Me So,0.22
Thank U Lord,0.377
True Love,0.39
U No Holy Pass,0.086
